A,C,P,B,L,R,LA
3,1,60,20.6598,190,0.94,0
3,1,69,18.691,163.333,0.98,1
3,2,60,24.9968,130.2,1,2
3,2,72,28.9971,130.2,1,3
3,2,87,25.8428,160.4,1,4
3,4,60,31.763,150.2,1,5
3,4,90,28.1256,171,1,6
3,5,60,36.8443,180.8,1,7
3,5,91,31.4211,180.2,1,8
3,5,92,31.4439,190.6,1,9
3,6,91,38.9487,240.2,1,10
3,6,92,38.9422,230.4,1,11
3,7,60,41.4072,220.4,1,12
3,7,64,41.6,230.4,1,13
3,7,91,45.098,280.6,1,14
3,7,92,45.2746,270.4,1,15
3,8,60,46.9953,240.6,1,16
3,8,63,50.8222,240.6,1,17
3,8,64,50.8385,250.2,1,18
3,8,71,50.8678,260.2,1,19
3,8,72,50.9988,270.2,1,20
3,8,86,49.1113,290.6,1,21
3,8,88,47.1677,270.8,1,22
3,8,89,49.9638,320,1,23
3,8,90,50.8366,350.2,1,24
2,1,60,19.9667,176.667,0.9,25
2,1,69,18.0077,151.2,0.94,26
2,2,60,24.3167,155.733,0.92,27
2,2,72,28.33,113.333,0.98,28
2,2,87,24.9992,110.8,1,29
2,4,60,30.9032,114.133,0.98,30
2,4,79,31.0602,136.667,0.96,31
2,4,90,27.282,121.2,1,32
2,5,60,35.7885,153.733,0.98,33
2,5,79,36.03,151,1,34
2,5,91,30.3945,190.8,0.94,35
2,5,92,30.4173,140.4,1,36
2,6,60,32.1738,158.027,0.94,37
2,6,91,37.7814,207.867,0.96,38
2,6,92,37.7911,186.389,0.94,39
2,7,60,40.0438,193.2,0.94,40
2,7,64,40.2203,162.8,1,41
2,7,91,43.5028,244.333,0.92,42
2,7,92,43.7151,201.8,1,43
2,8,60,45.4033,188.067,0.96,44
2,8,63,49.2661,221.8,0.94,45
2,8,64,49.2563,218.867,0.96,46
2,8,72,49.4068,253.733,0.92,47
2,8,86,47.5031,266.933,0.92,48
2,8,88,45.3569,230.8,0.94,49
2,8,89,48.2018,284.133,0.92,50
2,8,90,49.1072,287.467,0.96,51
1,1,60,10.8136,586.232,0.48,52
1,1,69,10.8949,263.333,0.78,53
1,2,72,10.9079,236.667,0.78,54
1,2,87,13.1281,196.054,0.8,55
1,4,60,13.1443,273.333,0.74,56
1,5,60,15.3742,336.667,0.76,57
1,5,91,11.5993,123.333,0.92,58
1,6,91,13.7804,306.667,0.74,59
1,7,60,19.8861,303.333,0.78,60
1,7,91,22.0672,300,0.76,61
1,7,92,22.0639,766.667,0.62,62
1,8,60,20.0561,399.32,0.66,63
1,8,63,22.09,326.667,0.74,64
1,8,88,24.3556,243.333,0.8,65
1,8,90,24.3394,296.667,0.78,66
3,1,60,20.6598,163.733,0.98,0
3,1,69,18.6845,150.4,1,1
3,2,60,24.9805,143.533,0.98,2
3,2,72,29.0133,130.4,1,3
3,2,87,25.8428,160.4,1,4
3,4,60,31.7695,150,1,5
3,4,90,28.1093,170.4,1,6
3,5,60,36.8346,180.2,1,7
3,5,91,31.4243,180.6,1,8
3,5,92,31.4243,190.2,1,9
3,6,91,38.952,240,1,10
3,6,92,38.9617,230.4,1,11
3,7,60,41.4267,220.4,1,12
3,7,64,41.6032,230.4,1,13
3,7,91,45.085,280.8,1,14
3,7,92,45.242,270.6,1,15
3,8,60,47.0375,254.533,0.98,16
3,8,63,50.8092,240,1,17
3,8,64,50.8353,250,1,18
3,8,71,50.8288,260,1,19
3,8,72,51.015,270,1,20
3,8,86,49.1146,290.6,1,21
3,8,88,47.1839,270.2,1,22
3,8,89,49.9833,320.2,1,23
3,8,90,50.8887,350.6,1,24
2,1,60,19.9927,176.667,0.9,25
2,1,69,17.9881,136.667,0.96,26
2,2,60,24.3753,168.867,0.9,27
2,2,72,28.33,140,0.94,28
2,2,87,24.9602,110.4,1,29
2,4,60,30.8869,100,1,30
2,4,79,31.096,137.067,0.96,31
2,4,90,27.2495,121.2,1,32
2,5,60,35.808,167.267,0.96,33
2,5,79,35.9812,163.933,0.98,34
2,5,91,30.4108,191.6,0.94,35
2,5,92,30.427,141.2,1,36
2,6,60,32.1543,144.133,0.98,37
2,6,91,37.8172,261.4,0.9,38
2,6,92,37.8497,184.733,0.98,39
2,7,60,40.0113,164.133,0.98,40
2,7,64,40.2398,162.4,1,41
2,7,91,43.4931,244.333,0.92,42
2,7,92,43.6891,241.2,0.94,43
2,8,60,45.4131,202,0.94,44
2,8,63,49.2401,234.333,0.94,45
2,8,64,49.3051,204.533,0.98,46
2,8,72,49.4394,269.067,0.92,47
